,username,tweets,similarity,mentioned,class
0,01farindo,1,1,0,positive
1,1001titisan,1,1,0,negative
2,1febri,3,0.777777777777778,0,negative
3,1ni_embun__,1,1,14,negative
4,212jalurgaza,1,1,0,negative
5,2_bongkar,2,0.692450089729875,7,negative
6,555akhmad,12,0.382304017396187,139,negative
7,5h0n4,1,1,0,negative
8,60dy1o710n,6,0.37617445305551,140,negative
9,73n0n9,15,0.579837570712109,77,negative
10,7thbali,30,0.373703930179846,388,negative
11,9lentertainment,1,1,0,negative
12,__kangmasmo3__,1,1,9,negative
13,_adityudhistira,1,1,0,negative
14,_bellapeter,4,0.664390817361036,24,negative
15,_srikandigalau_,1,1,1,negative
16,_tan_mudo_,3,0.449749482267347,0,negative
17,a7i2s,3,0.561392933448204,52,negative
18,a_syahrulkhair,1,1,0,negative
19,abahnasaf3,5,0.423408321054832,0,negative
20,abdulla3new,1,1,1,negative
21,abureal2,1,1,0,negative
22,abuyumn63495544,1,1,0,negative
23,aceljuju,1,1,0,positive
24,achmadafdhal,1,1,16,negative
25,acp_tukang,2,0.707972582701926,1,negative
26,adecand00351122,1,1,0,negative
27,ademfridemz,4,0.450413966421766,44,negative
28,adinda_zahran1,1,1,0,negative
29,adjahadza,3,0.851851851851852,35,negative
30,afriantomalin,1,1,0,negative
31,agungliao,2,0.727921152919276,35,negative
32,ainahj2,1,1,0,negative
33,airilmus,1,1,0,negative
34,aka_abzhary,2,0.594280904158206,0,negative
35,akafarmaa,1,1,1,negative
36,aksarax_imran,1,1,0,negative
37,akunkeempat212,1,1,0,negative
38,al_farizzi45,1,1,0,negative
39,alecha21,1,1,1,negative
40,alert_eit,3,0.422394844432221,0,negative
41,alexhoky99,9,0.67752626485931,28,negative
42,alfiandevanto,1,1,2,negative
43,ali334747,2,0.801511344577764,16,negative
44,alin_chan_,1,1,1,negative
45,aljufryhj,1,1,9,negative
46,always_happy_ss,1,1,0,negative
47,amirsiregar13,1,1,0,negative
48,amriezakhairi,1,1,0,negative
49,andifaizalabd,1,1,0,negative
50,andri50688553,1,1,1,negative
51,anerumma,1,1,1,negative
52,angelqueen_99,32,0.89969173660331,549,negative
53,angelshine99,3,0.463150764784619,0,negative
54,anggale05775430,1,1,0,negative
55,anginsemilirse1,1,1,6,negative
56,anieachai,2,0.649071198499986,0,negative
57,anitarosliana1,3,1,3,negative
58,annerossa2,2,0.769679944985297,2,negative
59,annisapevita,1,1,0,negative
60,anome22993456,1,1,0,negative
61,antontnabank,11,0.26793229339698,14,negative
62,appewali,1,1,1,negative
63,ardiankobe,9,0.40182408239303,0,negative
64,arekbatuasli43,1,1,0,negative
65,aris00379979,6,0.583993864427479,0,negative
66,arohman51904775,1,1,1,negative
67,arthan38836243,30,0.526037232081863,490,negative
68,arung54658569,2,0.535714285714286,3,negative
69,aryajay77377793,1,1,0,negative
70,aufacanteen,1,1,2,negative
71,auliabrow,1,1,0,negative
72,aulyasagar,1,1,0,negative
73,awan83468403,1,1,0,negative
74,awhsar,4,0.602920297613221,102,negative
75,awowoejuliyanto,1,1,0,negative
76,ayungjeania,1,1,1,negative
77,ayunirwana99,1,1,1,negative
78,aziz83388131,2,1,0,negative
79,aziz_channel,1,1,0,negative
80,azmailasef,2,0.723606797749979,30,negative
81,azzizzahnur,3,0.558181505219045,0,negative
82,b_dzoel,113,0.414208460883914,575,1
83,b_dzoel_isback,26,0.935897435897436,27,negative
84,b_the_truth,1,1,0,negative
85,badutpolitikus,1,1,0,negative
86,bala_radja,1,1,0,negative
87,balihodadang,1,1,0,negative
88,bambangsuseno67,5,0.54419051755355,52,negative
89,ban9dzoel,32,0.758286847717018,190,negative
90,bangpanji17,1,1,1,negative
91,baragbah_18sh,18,0.377779963407388,104,negative
92,basriwendi,1,1,0,negative
93,bejoes14,1,1,0,negative
94,belle_fre,2,0.661690416690889,0,negative
95,bhakti_yudi,11,0.459004355888732,254,negative
96,bib3guna,1,1,1,negative
97,bintang95302609,1,1,0,negative
98,blessvon16,1,1,1,negative
99,brianjohn20new,3,1,3,negative
100,brigthrita,1,1,2,negative
101,briyanikebuli,1,1,0,negative
102,budiant4r4,2,0.588388347648318,21,negative
103,bukanprygggg_,1,1,0,negative
104,bunnedu,2,0.7,11,negative
105,bvertonghen,1,1,1,negative
106,casperbewin1,1,1,1,negative
107,cebongdapetduit,1,1,0,negative
108,chandra96003761,1,1,0,negative
109,cicakcicakding1,12,0.380119447000919,44,negative
110,cindybexter,1,1,0,negative
111,cintanirmala2,7,0.493395565251919,9,negative
112,cordovamindpack,7,0.679662636401505,1,negative
113,cumansimpatisan,1,1,0,negative
114,d3ffim45rizal,7,0.38937322964521,10,negative
115,dadi95780583,2,1,0,negative
116,dancersejati1,41,0.203969508841384,1,negative
117,dantespeak_usa2,2,0.525854384499751,0,positive
118,daritxs,1,1,0,negative
119,dayatpondok,14,0.206686803462549,62,negative
120,deddyfp,14,0.758005514527254,0,negative
121,dedekyangkedua,6,0.545598696089082,98,negative
122,deepgrohl33,1,1,1,negative
123,delvy61863935,2,0.5,0,negative
