,username,tweets,similarity,mentioned,class
10,7thbali,30,0.37370393017984627,388,negative
52,angelqueen_99,32,0.8996917366033098,549,negative
67,arthan38836243,30,0.5260372320818635,490,negative
82,b_dzoel,113,0.414208460883914,575,negative
116,dancersejati1,41,0.20396950884138437,1,negative
143,elang4343,43,0.3947683982401158,1439,negative
148,enggarhadii,29,0.11917134777080617,4,negative
184,gotham_cty0,131,0.4121561574693313,749,negative
187,hail_indonesia,38,0.36269161404510425,433,negative
223,iteungtea5,47,0.5673630955393162,865,negative
226,iwan80an,30,0.5635991878488419,560,negative
230,j0cker_jr,41,0.47827765021566854,54,negative
233,jaluciparay,42,0.34218945359753483,94,negative
266,korban_rezim,36,0.32506077760827734,277,negative
286,manisewidiarti,72,0.5121371292372697,404,negative
345,panglima_minal,48,0.3530759515024638,144,negative
362,rakhmadirawan7,58,0.677858769087373,88,negative
387,seanc37866888,61,0.41956680013403286,956,negative
392,sepasangkaki15,36,0.28877975431380287,80,negative
418,teriwinarno1,10,0.4628471471636919,446,negative
419,there91194264,60,0.4473700176275168,2460,negative
440,wanitadesapena1,47,0.4097193035394416,360,negative
446,yang_moelia,55,0.31009488742444874,625,negative
0,01farindo,1,0.9999999999999998,0,1
1,1001titisan,1,0.9999999999999999,0,1
2,1febri,3,0.7777777777777778,0,1
3,1ni_embun__,1,0.9999999999999998,14,1
4,212jalurgaza,1,1.0,0,1
5,2_bongkar,2,0.6924500897298753,7,1
6,555akhmad,12,0.3823040173961871,139,1
7,5h0n4,1,1.0,0,1
8,60dy1o710n,6,0.3761744530555098,140,1
9,73n0n9,15,0.5798375707121088,77,1
11,9lentertainment,1,1.0,0,1
12,__kangmasmo3__,1,0.9999999999999998,9,1
13,_adityudhistira,1,1.0,0,1
14,_bellapeter,4,0.6643908173610358,24,1
15,_srikandigalau_,1,0.9999999999999998,1,1
16,_tan_mudo_,3,0.4497494822673465,0,1
17,a7i2s,3,0.5613929334482036,52,1
18,a_syahrulkhair,1,1.0000000000000002,0,1
19,abahnasaf3,5,0.4234083210548324,0,1
20,abdulla3new,1,1.0000000000000002,1,1
21,abureal2,1,1.0,0,1
22,abuyumn63495544,1,0.9999999999999998,0,1
23,aceljuju,1,1.0,0,1
24,achmadafdhal,1,0.9999999999999998,16,1
25,acp_tukang,2,0.7079725827019258,1,1
26,adecand00351122,1,1.0,0,1
27,ademfridemz,4,0.4504139664217657,44,1
28,adinda_zahran1,1,0.9999999999999998,0,1
29,adjahadza,3,0.8518518518518517,35,1
30,afriantomalin,1,1.0,0,1
31,agungliao,2,0.727921152919276,35,1
32,ainahj2,1,1.0,0,1
33,airilmus,1,0.9999999999999998,0,1
34,aka_abzhary,2,0.5942809041582062,0,1
35,akafarmaa,1,0.9999999999999998,1,1
36,aksarax_imran,1,1.0000000000000002,0,1
37,akunkeempat212,1,0.9999999999999998,0,1
38,al_farizzi45,1,1.0,0,1
39,alecha21,1,0.9999999999999999,1,1
40,alert_eit,3,0.4223948444322214,0,1
41,alexhoky99,9,0.6775262648593099,28,1
42,alfiandevanto,1,1.0000000000000002,2,1
43,ali334747,2,0.8015113445777636,16,1
44,alin_chan_,1,1.0,1,1
45,aljufryhj,1,0.9999999999999998,9,1
46,always_happy_ss,1,1.0000000000000002,0,1
47,amirsiregar13,1,1.0,0,1
48,amriezakhairi,1,1.0000000000000002,0,1
49,andifaizalabd,1,1.0,0,1
50,andri50688553,1,1.0,1,1
51,anerumma,1,1.0000000000000002,1,1
53,angelshine99,3,0.46315076478461875,0,1
54,anggale05775430,1,0.9999999999999998,0,1
55,anginsemilirse1,1,1.0,6,1
56,anieachai,2,0.649071198499986,0,1
57,anitarosliana1,3,1.0,3,1
58,annerossa2,2,0.7696799449852968,2,1
59,annisapevita,1,1.0,0,1
60,anome22993456,1,1.0,0,1
61,antontnabank,11,0.2679322933969799,14,1
62,appewali,1,1.0,1,1
63,ardiankobe,9,0.40182408239302975,0,1
64,arekbatuasli43,1,1.0000000000000002,0,1
65,aris00379979,6,0.5839938644274786,0,1
66,arohman51904775,1,1.0000000000000002,1,1
68,arung54658569,2,0.5357142857142856,3,1
69,aryajay77377793,1,0.9999999999999998,0,1
70,aufacanteen,1,1.0,2,1
71,auliabrow,1,1.0,0,1
72,aulyasagar,1,1.0000000000000002,0,1
73,awan83468403,1,1.0,0,1
74,awhsar,4,0.6029202976132214,102,1
75,awowoejuliyanto,1,1.0000000000000002,0,1
76,ayungjeania,1,0.9999999999999998,1,1
77,ayunirwana99,1,1.0000000000000002,1,1
78,aziz83388131,2,1.0,0,1
79,aziz_channel,1,1.0,0,1
80,azmailasef,2,0.7236067977499788,30,1
81,azzizzahnur,3,0.5581815052190446,0,1
83,b_dzoel_isback,26,0.9358974358974355,27,1
84,b_the_truth,1,0.9999999999999999,0,1
85,badutpolitikus,1,1.0,0,1
86,bala_radja,1,1.0000000000000002,0,1
87,balihodadang,1,1.0,0,1
88,bambangsuseno67,5,0.5441905175535503,52,1
89,ban9dzoel,32,0.7582868477170178,190,1
90,bangpanji17,1,1.0,1,1
91,baragbah_18sh,18,0.3777799634073877,104,1
92,basriwendi,1,1.0,0,1
93,bejoes14,1,1.0,0,1
94,belle_fre,2,0.6616904166908887,0,1
95,bhakti_yudi,11,0.45900435588873206,254,1
96,bib3guna,1,1.0,1,1
97,bintang95302609,1,1.0000000000000002,0,1
98,blessvon16,1,1.0,1,1
99,brianjohn20new,3,1.0,3,1
100,brigthrita,1,1.0000000000000002,2,1
101,briyanikebuli,1,1.0000000000000002,0,1
102,budiant4r4,2,0.5883883476483184,21,1
103,bukanprygggg_,1,1.0,0,1
